,titles,first_ps,authors,reply_lps,reply_qs,found_time,ltimes,year,fields
10,现在都是法治社会了，还在这里成天发家暴帖子，过不下去了可以离,现在都是法治社会了，还在这里成天发家暴帖子，过不下去了可以离婚，不想离婚就受着呗,九七,tbckvdw,20,2020/3/17,12月2日,2020,7059644235
11,被父亲家暴，双亲冷暴力，所以得抑郁症。很难一两句解释的清楚所,被父亲家暴，双亲冷暴力，所以得抑郁症。很难一两句解释的清楚所有状况。总之目前的状态是，因为家庭原因休学直到四月份复学，疫情的时候因为实在找不到工作，也没办法把复学后念书和糊口安排妥当，实在捱不过去了，向他要了生活费。后来因为房东跟他特别像，天天打他姐姐，我想帮那个姐姐，结果帮不了多少不说，自己抑郁症又发作了，整日整日神思不属，连期末也没好好准备，估计等待我的只有退学。这样我自觉学习不好不该向他继续,大人此必...,滑板鞋本...,14,2020/11/17,12月1日,2020,6791485305
12,我小时候遭遇家暴，多次想到自杀。现在21了，一直有阴影，怎么办,从小我父母离异，我跟着我妈，我就是我妈的出气筒，她一心情不好就爆打我，狂扇我耳光子，打我脑袋，每次我的脑袋都好几天看东西模糊，耳朵听不清东西,浇花的园丁,野原向...,37,2020/11/1,12月2日,2020,1778300517
13,家庭矛盾,今天，爹妈吵架，我妈让我爸把发电机放房子里面去一点，我爸不听，然后吃饭的功夫我妈说了不下五次，然后我爸火了，说和他不一条心，我妈说不一条心还借你三万，然后我爹说他以经借了二十多万，然后我妈就气走了。 我爹还说他检查瘤，我们都想把他气死，好分他“家产！ 我都借了他1万八千现金，还有我妈的现在三万 我爹平时动不动就骂我，吼我 性格暴躁，外面老实 二十万我和我妈在不影响生活情况下要打工三年的所有积攒才行 但是我,贴吧用户_...,贴吧用户_...,3,2020/7/5,12月1日,2020,7124276536
14,孕15周被老公家暴，我曽经他会改掉，一次比一次打的狠，如果不,孕15周被老公家暴，我曽经他会改掉，一次比一次打的狠，如果不是肚子里的孩子，早就离婚了,大可爱980,贴吧用户_...,12,2012/9/1,12月1日,2020,6997411276
15,大清早无缘无故的扇我耳光，然后我不该和他骂，就作死的把我捂被子里用拳头捶了6下！！吓的两个崽直哭，我这为了什么？？？,,小橙子一...,王律师说...,10,2020/12/1,12月1日,2020,7062555035
16,我被老公家暴成瘾,想想活着有什么意思，为了孩子我还要忍吗？心里有千言万语的苦…………我想告他让他坐牢……我的恨,心酸的秘密1,王律师说...,396,2020/10/4,12月1日,2020,5036927640
17,他人即地狱,,月亮的秘...,法外狂兎,9,2020/11/3,12月1日,2020,7120550257
18,我老婆经常打我女儿，我感觉她疯了,我老婆经常打我女儿，我感觉她疯了,豆角土豆...,天善居士,28,2017/3/1,11月30日,2020,6071934818
19,帮帮我，被续母打了，我要怎么办,我今年18，是一名中专生，被后妈打了，怎么办？ 事情原因，2020年11月2日，周一上午，我因为头疼，胃疼，向学校请假，我身体本来就虚弱，老师，同学们都知道。 大约8点半左右，我起床去洗澡，在卫生间我洗了大约20分钟，续母来门口，催促我，说要说是要上卫生间，当时我刚打好沐浴露，准备冲洗。续母在外面一直催促，我说马上就好，续母就开始砸浴室的门，我被吓到了，就急急忙忙把上衣穿好，她在外面一直辱骂，还骂到了我亲生母亲，我,贴吧用户_...,秋刀鱼的...,14,2020/11/29,11月30日,2020,7063103601
20,我男朋友经常打我 习以为常 拿我不当人 直接动不动就是一脚上,我男朋友经常打我 习以为常 拿我不当人 直接动不动就是一脚上来踹 动不动就是打耳光 这些我只能说还是轻的 重的直接就是揪着我的头发狠狠的把我的头往墙上撞 有一次还用那种铁的热水壶砸我头直接把热水壶砸烂了 拿那种很重的木椅子砸我身上不分位置 拿衣架抽我 身上的伤数不清,婷婷呢,秋刀鱼的...,95,2019/3/1,11月30日,2020,6143938051
21,被媳妇每天家暴摧残中……这是第3288天，大腿里子又再次被拿,被媳妇每天家暴摧残中……这是第3288天，大腿里子又再次被拿捏，持续更新，现在女性真的很不讲道理，持续报道，，，，，，,b博学多问,贴吧用户_...,24,2020/11/3,11月30日,2020,6921159377
22,分享一个家暴男，婚姻给了女人什么，你拼命的给他生下两个儿子他,分享一个家暴男，婚姻给了女人什么，你拼命的给他生下两个儿子他是这样回击给你的，婚姻中女人永远是受害者，之前他打了我两次巴掌我也忍了这次因为嫌我我没弄好大宝说什么人家都把娃带的好好的教育的好好的你没弄，对我大喊大叫大骂把我拽出去用力踹我胳膊导致我胳膊现在肿的都突起来了,腐娘,温柔的小...,33,2019/5/1,11月29日,2020,6974362547
23,现在人为了钱结婚，家暴所以常见。,,仁君道德...,abc135abc13,1,2020/9/2,11月28日,2020,7102363287
24,父亲严重家暴，警察不管到底该怎么办,***活够了。从我记事开始，我妈就被我爸打，每次都是那种血流一地的。喝醉了就打五六岁的我，那时候胳膊上全是鞋印。九岁的时候把我妈的骨头打断了，报警之后警察就帮忙拨打了120，之后就走了，医生说骨头离心脏只有一厘米的距离，在近一点扎到心脏就会死亡。家里面条件很不好，根本没有钱付医药费，要付钱的时候，我爸躲在他那些狐朋狗友那儿。家里以前条件挺好的，有澡堂和饭店，全被我爸为了一时的小钱给变卖了。我妈在外面辛苦赚,EXOstifle,贴吧用户_...,24,2020/9/22,11月28日,2020,5440216764
25,我今年30岁，性格内向在外人面前沉默儒弱胆小怕事，在母亲和妻,我今年30岁，性格内向在外人面前沉默儒弱胆小怕事，在母亲和妻子面前却大吼大叫，有什么不顺心的事就会在母亲和妻子面前显得不高兴黑脸或者大叫发屁气，在外人面前却又假装微笑。跟妻子结婚五年经常黑脸吵架，因为吵架时觉得自己有理或者是妻子不顺从自己的想法就会急火攻心，心里憋屈的很，就会言语威胁，甚至动手打人，结婚五年动手打过妻子三次，弟一次是假装吓她没用劲打，她确口口声声说我打她，到弟二次时我心想你说我打那我,9破活宝,贴吧用户_...,60,2020/11/21,11月28日,2020,5946243894
26,我刚结婚两个月，我发现我老婆有点暴力倾向，动不动就生气，吵不,我刚结婚两个月，我发现我老婆有点暴力倾向，动不动就生气，吵不过还动手打人，我自知是个男的不能动手，动手她那体格就跟捏菜一样的。但是动不动抓到一个东西就飞过来了，什么刀子，剪刀，手机，碗盘都用过。别人都说结婚了之后男的会变，我怎么碰到的就是个反的呢。我体格壮硕，也挨不住呀咋整呢？,卧虎藏...,贴吧用户_...,17,2017/11/1,11月28日,2020,6414389454
27,有一次我闺蜜打游戏输了，心情很不好，正好她男朋友过来了她仅仅,有一次我闺蜜打游戏输了，心情很不好，正好她男朋友过来了她仅仅是骂了她男朋友几句，大概就是说她男朋友死妈什么的，然后她男朋友就直接问她“你抽什么疯？！”她当时就恼了，拿起水果刀（合着的，没打开）砸了过去，她男朋友没受伤，然后她男朋友出去了，就为了这点事她男朋友已经四天没理她了，她男朋友这种行为算冷暴力吗？冷暴力算家暴吗？我要劝她报警吗？,贴吧用户_...,贴吧用户_...,8,2018/11/1,11月28日,2020,7112471916
28,小时候经常被家暴的进我是女生，小时候经常被父亲打骂，现在20,小时候经常被家暴的进 我是女生，小时候经常被父亲打骂，现在20了，得了抑郁症，不太想活了。我想问，小时候经常被打骂长大后会更容易得抑郁症吗,我灬霸气,贴吧用户_...,59,2019/12/1,11月28日,2020,6810707649
29,我的一个遭婆家虐待，罹患胃癌而死的同学,最近山东发生了一起被婆家虐待致死的案件，很让人愤慨，但是互联网上的新闻就是这样，几天过去，大家就全都忘记了。 而我之所以对这个案子感触很深，是因为我身边发生过一起同类性质的事情，而那个姑娘曾经是我最好的朋友之一，所以这个事情直到今天我都不能释怀。 女孩子的名字叫做M li na，听起来有点像英文Banana，所以后来我们就给她起了一个绰号叫Banana，刚开始她不喜欢这个绰号，但是时间长了，连她自己都习惯了。 她是一个独生女,写给宾清华,heartwww4,2,2020/11/25,11月27日,2020,7107386056
30,周旭亮《法治进行时》普法；遭受家暴提出离婚后期间如何保护自己,,北京冠领,北京冠领,0,2020/7/13,11月27日,2020,7116075569
31,结婚快两年了，在结婚一年的时候 他喝多了我们起了争执 他扇来,结婚快两年了，在结婚一年的时候 他喝多了我们起了争执 他扇来我一巴掌 第二天他很诚恳的对我道歉 保证以后不会再对我动手 我原谅了他 毕竟结婚了都想好好过日子，今年四月份左右 他半夜才回来 喝了很多酒 对我发酒疯 我没怎么搭理他 我也不想自己受伤害 他好好给他朋友打电话 然后非要我接电话 我没有接 他就用语言攻击我 然后揪着我头发打我头 然后把我从床上踹下来 踹了好几脚 后来我跑回了娘家 虽然身上没有淤青 也没怎么受伤 但是真,贴吧用户_...,zj0369时代,3,2020/11/23,11月26日,2020,6984043484
32,山东女子因不孕被虐致死？遭遇家暴要反抗,“山东一女子因不能怀孕被丈夫、公婆虐待致死”一事引发关注，社会学和心理学领域专家解读背后的受害人权益保护问题。 我们先还原一下“小方姑娘的一生”。 婚前，她是家中独生女，其母亲患有精神病，父亲年迈，家境贫困，生活艰难。 不过，可能是遗传原因，小方婚前身体还算健康，除了阶段性的精神状态不是很好，反应慢点，好在生活尚能自理，具备基础的工作能力，可以养活自己。 鉴于农村男多女少，没得挑，她的出嫁，还是给当时,心医Young博士,心医Young博士,0,2020/11/27,11月26日,2020,7113576192
33,儿童向| 关于被家暴后自我疗愈与自我救赎的方法探讨,本人目前是一所广东高校本科的大学生，在童年时期遭遇过十分严重的家庭暴力、经济封锁和情感控制。这十几年来，从一个缩在墙角的消瘦小男孩，到成为现在心智相对健全的青年，我也经历过数年的解离、麻木、恐惧以及抑郁症。在这期间，为保证自己不走上自杀的命运，我不停地学习着各种知识，翻阅各类心理学书籍，也主动寻求心理医生治疗，平常也会冥想、运动...用一句老话说，就是在关于原生家庭不幸这一块，心里受的伤，为寻求治愈，,CG_小乒,用户5307888,2,2020/9/27,11月25日,2020,7109843887
34,男人的家暴的发展史,从2017年在贴吧发了第一个求助贴到现在3年，从第一次拿玩具砸我发展到昨天站着被踢从后部踢了一脚，被反复推搡，被让滚。感觉离被按在地上打的地步不会很远。觉得自己穷途末路了。,兔斯基,用户5307888,8,2020/11/26,11月25日,2020,7067818480
35,人生就像一场戏，因为有缘才相聚。相扶到老不容易，是否更该去珍,人生就像一场戏，因为有缘才相聚。 相扶到老不容易，是否更该去珍惜。 为了小事发脾气，回头想想又何必。 别人生气我不气，气出病来无人替。 我若气死谁如意，况且伤神又费力。 邻居亲朋不要比，儿孙琐事由他去。 吃苦享乐在一起，神仙羡慕好伴侣,月水静华,用户5307888,1,2020/11/24,11月25日,2020,7111289043
36,20年的虐待，连一句对不起都没有,每天都在以教育为名，家暴！足足20年没有一丝愧疚，不分场合的家暴，只为满足你的虚荣！我永远记得我的小伙伴弃我而去的时候那句话：我爸妈说你爸是个神经病，要我离你远一点！,错位的怀疑,错位的怀疑,4,2020/11/5,11月25日,2020,7074234908
37,家暴的男人都去死,我有这样一个父亲，在我很小的时候我就看见他跟我妈吵架，有一次他生病了，我妈从馆子里给他买了一,傲娇小公...,brulea,11,2020/11/25,11月24日,2020,4967498887
38,我连脏话都没说过。。。。,,贴吧用户_...,用户5307888,3,2020/11/8,11月24日,2020,7105347089
39,遭遇家暴怎么办？怎么自救？,家庭暴力简称家暴，是指发生在家庭成员之间的，以殴打、捆绑、禁闭、残害或者其它手段对家庭成员从身体、精神、性等方面进行伤害和摧残的行为。 以上是百度百科对于家暴的解释。 其中很大一部分家暴都是发生在夫妻之间的，最为常见的是丈夫殴打妻子。,磊哥12338,磊哥12338,6,2017/2/1,11月23日,2020,7107483706
40,被男友扇了一耳光，是不是应该离开他？昨晚和男友一起出去吃饭，,被男友扇了一耳光，是不是应该离开他？ 昨晚和男友一起出去吃饭，他喝了酒，回家的路上就叨叨叨总埋怨我，我就让他闭嘴，没想到越吵越凶，他指着我骂骂咧咧，很突然的就狠狠的扇了我一耳光。 我懵了想还手，但是他两只手拽着我的胳膊不能动，并且说如果我不老实还要揍我。 借着酒劲，还说了好多难听的话，我是不是应该马上分手离开他？,安静的桃...,无人接听...,14,2020/11/23,11月22日,2020,6786937239
41,观音心咒改变全家的命运,真人真事,贴吧用户_...,贴吧用户_...,0,2020/7/3,11月22日,2020,7105394036
42,今天被我妈给打了。这已经不是第一次了，拿着我的钱不转给我，用,今天被我妈给打了。这已经不是第一次了，拿着我的钱不转给我，用脚踢打我，踹我，还恐吓威胁我。她已经打了我好几次了，每次都是喝完酒打的，还要赶我出去。各位帮忙看一下这算不算家暴 算的话帮忙传播一下，谢谢,numsiz,害怕也没...,9,2020/11/22,11月21日,2020,6897324572
43,家暴只有零次和无数次我从没想过自己会有想自杀和杀人的一天，活,家暴只有零次和无数次 我从没想过自己会有想自杀和杀人的一天，活得越来越痛苦，却又不敢去死。,千渡希也,害怕也没...,35,2020/8/21,11月21日,2020,6816840958
44,如果被家暴了，请一定要离婚。结婚三年，怀孕后把工作辞了，因为,如果被家暴了，请一定要离婚。结婚三年，怀孕后把工作辞了，因为一双儿女无人照顾没有公婆可依靠不得不辞职了。没有工作的日子真的是暴露一个人的本性，已经两年没有工作了，孩子一岁半，所谓的丈夫(全篇通称男方)长期家暴，语言侮辱，我曾多次报警，警察总会问我为什么打你，可笑，家暴的人打人需要理由吗？一句话不称他心就可能突然扇你一耳光，比如你反驳了他一句他可能就会掐你脖子，把你头往墙上撞。从最开始的指望警察来制止,憧憬260,yuanaijun1118,12,2020/7/16,11月20日,2020,6848778328
45,父母对成年儿女言语上的侮辱责骂算不算家暴,就是经常一点小事就辱骂，人身攻击，主要是是话极度难听，根本不是为人父母说的，可否列入家暴范围，有个重点是成年子女,sg2213724,yuanaijun1118,46,2020/7/30,11月20日,2020,5648199386
46,这个月第三次了，我13岁初中生，学习成绩不好，我爸对我特别严,这个月第三次了，我13岁初中生，学习成绩不好，我爸对我特别严格，每次都在手机上找那些所谓的学霸总结出的习惯，让我背，让我做，一没有做好，就用衣架，充电线，扫把棍打我，扫把棍打我已经打断了俩根，充电线抽的我连包裹在外面的橡胶皮都没有了，衣架不知道已经断了几根，现在我被打的，平常手发抖严重，腰因为被打，总是疼。没次父亲打完后，说明天继续打我到时候，就是对我的精神摧残。现在晚上就是睡不着觉，明天都是上课睡,妹妹这这...,糯团,107,2018/4/1,9月6日,2020,5640943121
47,我爷爷把我弟弟吊起来打,今天我看到了我妈发的朋友圈，是我弟弟的检讨书，上面说他把我爷爷的烟偷偷带了一根到学校去学着他（我爷爷）的样子点了，被老师发现后告诉了家长，回到家后就有了那张检讨。我觉得嘛，小孩子，什么都好奇是一定的，但这样一定是要好好教训一下的，教训过了让他知道这是不对的就好了。 结果，就在刚刚十点多的时候我又看到了我妈发的朋友圈，一片漆黑，整个村都很安静，安静到只能听到我弟的哭声。 我妈说他把我弟弟吊起来打，打了,珍心何在,珍心何在,0,2018/4/1,11月19日,2020,7099948794
48,本人90后，从小被家暴，长大的你们现在如何了？,我觉得我一辈子被他们毁了，我现在性格懦弱、自卑，做事唯唯诺诺 没有平常心，童年阴影挥之不去，恨他们,ggwdjdmpj,tbckvdw,68,2020/11/19,11月20日,2020,5888359188
49,（有偿）问卷调查+访谈对象，均有偿。,大家好，我是一名学生，专业是新闻与传播。最近在做一个课题关于家暴受害者的媒介使用（您是如何使用社交媒体）非常希望大家能够参与到我的课题研究中。课题中包括一次问卷调查和一次访谈（均是有偿）。主要的注意事项有 ①聊天地点：不限，微信、QQ、豆瓣、贴吧等任何地址都可以；电话、打字形式不等 ②报酬：问卷调查大约需三分钟做完，报酬为两元；访谈大约需要30分钟到45分钟，报酬为50元，可选择做其中一样。问卷调查不限人数，,罗卷卷卷,放开那只...,5,2018/9/1,11月19日,2020,7081090473
50,男友一生气会有抑制我行动，或有时掐我脖子，算家暴么？反正身上,男友一生气会有抑制我行动，或有时掐我脖子，算家暴么？反正身上也老青紫,菲洛丽,分享者,29,2020/11/11,11月17日,2020,6086712912
51,他连着喝了几天大酒，刚回家又阴暗扭曲的思想找茬打我妈了，我夹,他连着喝了几天大酒，刚回家又阴暗扭曲的思想找茬打我妈了，我夹在中间拉架，他拿了两把菜刀一把大刀砍我们。,这是梦吧,分享者,36,2019/4/1,11月17日,2020,6870467032
52,我建议家暴，算命行业也要负法律责任！,我建议家暴，算命行业也要负法律责任！ 比如：一个家庭本来过得很幸福，男的几次去不同算命先生里算命，算命先生都是说道男的一生有两个老婆，结果男的天天和他的妻子闹离婚，离婚不成，对子女和妻子，全家人家暴！再不行就离家出走，不理家庭，不理子女！ 这样算命的也要负法律责任，因为家暴是由算命行业的人引起的！必须要他们负责！,天哥819,天哥819,1,2020/8/9,11月14日,2020,7089103419
53,说说家暴的特点    爱面子    没本事 特别容易被人激怒,说说家暴的特点 爱面子 没本事 特别容易被人激怒 掌控欲强 喜欢外人装 家里横 只会欺负女人和小孩 不会改的 装的再好 只要没人的时候就会暴露 。 以上我爹特点,贴吧用户_...,捍卫哲学,35,2020/11/14,11月15日,2020,6384229738
54,结婚4个月，怀孕3个月，被老公狠狠打头部，昏迷中他仍在打，还,结婚4个月，怀孕3个月，被老公狠狠打头部，昏迷中他仍在打，还恐吓要拿刀杀我！我不知道该怎么办，现在过去一个月，我走不出来这个阴影，该怎么办,带你上安...,捍卫哲学,11,2019/12/1,11月15日,2020,7040275632
55,家暴后的第二天我离婚了,"渣男后悔了也没用。前夫因为被我撞见他出轨了,恼羞成怒的对我动起了拳头,无论是家暴还是出轨,都是我认为的婚姻底线,离婚协议书我当天晚上就写好了,因为都是各半分,我还带走孩子,他很快就签名了。第二天我终于结束了五年的婚姻!!虽然他后来后悔了,但已经不可能,我终于才从地狱踏出来,是傻了才回去。 婚姻是一纸契书,当灵魂不再共舞,当生活已成毒药,我们都有毁约的权利,撕裂契约后开始人生的第二次涅槃重生,抱着你走你好的态度面对生活,怀",娇喘,糖油粑粑,69,2020/10/24,11月14日,2020,5965252675
56,想要离开,想要离开,孑然一身...,糖油粑粑,3,2018/11/1,11月14日,2020,7045247270
57,和女朋友谈了两年了，刚开始很恩爱，但是后面发现只要吵架就要动,和女朋友谈了两年了，刚开始很恩爱，但是后面发现只要吵架就要动手打人，前几次都是扇耳巴子，摔东西，最近两次就是拳打脚踢 我都没有还过手，每次吵架我最过分的就是大声吼她，然后她就威胁我，说再吼，就把锅里热腾腾的菜给我扔过来，还说要拿刀捅我！有一次准备拿菜板给我打过来，我就马上蹭上去，给了自己一耳光，喊她来打，她就愣住了。然后又用扫把打我。我真的有点害怕这种，一吵架就家暴，现在还没有结婚。我怕对以后孩子,朱Hope,糖油粑粑,5,2020/10/26,11月14日,2020,7028523026
58,被男朋友打了，外伤看不太出来。他先是一巴掌扇过来然后一拳往我,被男朋友打了，外伤看不太出来。他先是一巴掌扇过来然后一拳往我后脑勺很用力得锤过来，整个人已经躺在地下，他把我一路拉，拎着我一只手，现在那只手已经快举不起来了，另一只手全是划痕，脚也肿了路人看到报警了。请问还能和他结婚吗？可能他是因为爱我才这样的。我们父母都见了,牛肉粉嘻...,酒小柒,104,2020/10/19,11月13日,2020,6754152940
59,"2020年11月10日
今天是个普通的一天，我遭遇了不普通的对",2020年11月10日 今天是个普通的一天，我遭遇了不普通的对待。 今天是我产后第九十九天。 事情经过：晚饭大概七点来钟，因为宝宝刚吃完奶，我抱着拍嗝，婆婆跟他就先吃饭了，因为我跟我姐住一个小区，我说“明天没事去我姐家看看”。他说“把你的腿跑断”。我生气的说“天天从家里看孩子也是憋的慌”。婆婆说“明天就别去了呗”。我说“看看啥时候去都行”。我就抱着孩子在屋里溜达，后来听他说了一句，意思大概就是也闲不着，也里想出,二安复燃,酒小柒,8,2020/6/17,11月13日,2020,7080868413
60,到底是什么样的经历，会让关注贴吧，让我在这个贴吧想要寻求一丝,到底是什么样的经历，会让关注贴吧，让我在这个贴吧想要寻求一丝丝安慰，,芒果吖,昨天的不...,3,2020/11/11,11月13日,2020,7007676845
61,为什么作为一个生你的人要对你这么狠这么凶，牙齿非要等烂掉了才,为什么作为一个生你的人要对你这么狠这么凶，牙齿非要等烂掉了才肯出两百块去补，而且态度还很恶劣，很凶，说是我欠你的，两百块钱很大吧！ 为什么别人的父亲对自己的孩子那么好！你却觉得我是你的负担！每天不给我好脸色好，只觉得我是你的累赘！为什么你要对我这么不好！为了后妈要赶我出去，拿铁棍打我干我。想着法子让我自己出去租房子，你不是人，你不配！我被后妈打得鼻青脸肿一句问候都没有，指望着我早点嫁出去，嫁给谁无,cyy,昨天的不...,3,2020/10/9,11月13日,2020,7039188518
62,一个和女人斗气的男人，不是人自己没本事怪自己媳妇，这种人活着,一个和女人斗气的男人，不是人自己没本事怪自己媳妇，这种人活着虚伪，伪君子，生活不顺找女人发泄，只有没出息没教育的人才这样，自己如果没有错就不会被骂，被骂的时候想想自己做错了什么，最后祝天下家庭幸福美满,紫荆花开...,紫荆花开...,7,2020/10/24,11月12日,2020,5787545827
63,男友隐藏式家暴？最近刚分手一个男生，交往不到两个月。他整体给,男友隐藏式家暴？ 最近刚分手一个男生，交往不到两个月。他整体给人一种，感性中带着理智。思想稳重的影响。喜欢美食和游戏，接触一个月后下来发现，有很多口不对行，比如说，刚开始谈说我只用呼吸，其他的交给他来做。我自己单独一套房，第一次去我家住的时候，我主动分担家务都挺和谐。后来的第三次就开始懈怠，比如指使我洗衣服，拖地，打扫卫生等。因为我们异地，虽然车程只有2个小时高速。正巧碰上国庆，可以呆长一点时间。 最,阿谀小姐...,吃辣加点...,5,2018/7/1,11月11日,2020,7028298142
64,我佛慈悲，这贴吧大抵都是些被家暴过的女人还有女生吧，,,骑风麟,温柔的小...,9,2020/10/19,11月8日,2020,7075073877
65,这两巴掌拜你所赐，这辈子决不原谅，绝不和解,这两巴掌拜你所赐，这辈子决不原谅，绝不和解,努力变好...,骑风麟,30,2020/11/8,11月8日,2020,6967913052
66,妈妈因病去世的第6天，整理妈妈遗物发现爸爸的家暴从未停止过,2020年6月15日，妈妈因为胰腺癌永远的离开了我。我伤心难过，但又心理上松了一口气，妈妈也算是解脱了，不仅解脱于疾病的折磨，更解脱于这段不幸福的婚姻。爸爸妈妈争执了一辈子，在我小时候的记忆里我爸经常动手，但是到了后来就少了，我以为是老了打不动了互相更依赖了，然而到今天为止发现爸爸的暴力从未停止过，只不过都避开了我们。 我和哥哥从小在这个家庭里真的快要疯了，小时候亲戚朋友都很羡慕我们，觉得我们的家庭条件好，,贴吧用户_...,Karen张水水,10,2020/9/19,11月6日,2020,6761504470
67,解决家暴问题的“钥匙” ——如何平衡婚姻、家庭中的权利,前几天跟好友闲聊，无意中谈到了家暴问题，朋友突然沉默了，然后说她自己也是家暴的受害者，我很诧异，她一直给人的印象是一个非常理智、生活幸福，事业成功的女性形象，很难相信她也是家暴的受害者，诧异之下，听她说起自己的事情。听完她的遭遇，我心情沉闷，劝她保护自己的合法权益，真的不行可以考虑离婚。。。,寒潭玄曳...,寒潭玄曳...,600,2020/6/20,11月5日,2020,5461540491
68,儿子打父亲一定不对吗,我在别处看到了这么一个回答，结果下面很多说不孝子的。以下是原文 女人被家暴了一定要打回去，自己打不了也要喊别人打回去!我男友的发小阿伟，妈妈是家里的长姐，下面三个妹妹没有男丁，就招了女婿上门，阿伟就跟他妈姓，他爷爷奶奶(其实是外公外婆)的资产全部给了他们家，结果这个爸爸过了几年觉得自己窝囊，给人家做女婿，丢人抬不起头，就三天两头暴打老婆，阿伟不知道哭了多少次，后来上中学了他妈妈终于受不了离婚了，但是起,跨三世纪...,dalian1994053,17,2017/12/1,5月21日,2020,6694895014
